title,overview,genres,combined_features
Tutti gli uomini del deficiente,"Nearing death, videogame genius Leone Stella holds a contest to find an heir: several people named like him will compete in a live-streamed reenactment of his most famous exploits, and the winner will inherit his billion-dollar fortune.",Comedy,"Tutti gli uomini del deficiente.Comedy.Nearing death, videogame genius Leone Stella holds a contest to find an heir: several people named like him will compete in a live-streamed reenactment of his most famous exploits, and the winner will inherit his billion-dollar fortune."
A Sunday in the Country,"In France, before WWI. As every Sunday, an old painter living in the country is visited by his son Gonzague, coming with his wife and his three children. Then his daugther Irene arrives. She is always in a hurry, she lives alone and does not come so often... An intimist chronicle in which what is not shown, what is guessed, is more important than how it looks, dealing with what each character expects of life.","Drama, Family","A Sunday in the Country.Drama, Family.In France, before WWI. As every Sunday, an old painter living in the country is visited by his son Gonzague, coming with his wife and his three children. Then his daugther Irene arrives. She is always in a hurry, she lives alone and does not come so often... An intimist chronicle in which what is not shown, what is guessed, is more important than how it looks, dealing with what each character expects of life."
Garage Sale Mystery,"Jennifer Shannon can always find a diamond in the rough, when it comes to garage sales, that is. Whether it's a new antique to sell at her consignment shop, an Atari game for her son or a piece of furniture for her handy husband Jason to refurbish, she has made a career out of her treasure hunting prowess. When a string of burglaries hits her town, Jennifer's keen eye for detail and her natural problem solving instincts even help her see the connection between these burglaries and local garage sales! Jennifer works with Detective Adam Iverson to investigate her theory that the perpetrators of the burglaries are fellow garage sale regulars. The case escalates to dangerous levels when Jennifer discovers the dead body of her friend. Even though the deceased's husband, Ben Douglas, finds nothing missing in their house, and the police label the death as accidental, Jennifer suspects that the death may be related to the burglaries.","Crime, Mystery, TV Movie","Garage Sale Mystery.Crime, Mystery, TV Movie.Jennifer Shannon can always find a diamond in the rough, when it comes to garage sales, that is. Whether it's a new antique to sell at her consignment shop, an Atari game for her son or a piece of furniture for her handy husband Jason to refurbish, she has made a career out of her treasure hunting prowess. When a string of burglaries hits her town, Jennifer's keen eye for detail and her natural problem solving instincts even help her see the connection between these burglaries and local garage sales! Jennifer works with Detective Adam Iverson to investigate her theory that the perpetrators of the burglaries are fellow garage sale regulars. The case escalates to dangerous levels when Jennifer discovers the dead body of her friend. Even though the deceased's husband, Ben Douglas, finds nothing missing in their house, and the police label the death as accidental, Jennifer suspects that the death may be related to the burglaries."
The Misfortunates,"13-year-old Gunther Strobbe grows up surrounded by alcohol, trash and his completely useless father and uncles. Slowly but surely, he's being prepared for the same hapless life. Can he defy his destiny?","Drama, Comedy","The Misfortunates.Drama, Comedy.13-year-old Gunther Strobbe grows up surrounded by alcohol, trash and his completely useless father and uncles. Slowly but surely, he's being prepared for the same hapless life. Can he defy his destiny?"
BTS World Tour: Love Yourself - Japan Edition,BTS perform their Japan concert at Tokyo Dome and Fukuoka Yahuoku Dome during their Love Yourself World Tour.,"Music, Documentary","BTS World Tour: Love Yourself - Japan Edition.Music, Documentary.BTS perform their Japan concert at Tokyo Dome and Fukuoka Yahuoku Dome during their Love Yourself World Tour."
The Very Private Life of Mister Sim,"François Sim considers himself worthless and he may have good reasons for that. Hasn't he lost his job as well as his wife Caroline? Isn't he unable to relate to Lucy, his teenage daughter? Didn't he, when he was eighteen miss out on passion whereas the sexy, gorgeous Luigia opened her arms to him?","Drama, Comedy","The Very Private Life of Mister Sim.Drama, Comedy.François Sim considers himself worthless and he may have good reasons for that. Hasn't he lost his job as well as his wife Caroline? Isn't he unable to relate to Lucy, his teenage daughter? Didn't he, when he was eighteen miss out on passion whereas the sexy, gorgeous Luigia opened her arms to him?"
Badhaai Ho,A 25-year-old man tries to suppress his embarrassment when his mother announces that she is pregnant.,"Comedy, Romance, Drama","Badhaai Ho.Comedy, Romance, Drama.A 25-year-old man tries to suppress his embarrassment when his mother announces that she is pregnant."
The Guest,"Dumped by his girlfriend and finding himself stranded on different couches at friends’ places, Guido tries to transform his drift into an opportunity for a new beginning.","Comedy, Drama","The Guest.Comedy, Drama.Dumped by his girlfriend and finding himself stranded on different couches at friends’ places, Guido tries to transform his drift into an opportunity for a new beginning."
Abraham Lincoln Vampire Hunter: The Great Calamity,"A motion comic follow-up to a chapter from Abraham Lincoln Vampire Hunter novel where Abe's friend, Edgar Allan Poe, tells him the tale of historical Hungarian countess Elizabeth Bathory, often tied to vampire legends due to her brutality.","Horror, Animation, Fantasy","Abraham Lincoln Vampire Hunter: The Great Calamity.Horror, Animation, Fantasy.A motion comic follow-up to a chapter from Abraham Lincoln Vampire Hunter novel where Abe's friend, Edgar Allan Poe, tells him the tale of historical Hungarian countess Elizabeth Bathory, often tied to vampire legends due to her brutality."
The Next Skin,"A teenager who went missing and was presumed dead returns home after eight years to find a family deeply affected by his disappearance. Gradually, doubts arise about whether he really is the missing boy or an impostor.","Drama, Mystery, Thriller","The Next Skin.Drama, Mystery, Thriller.A teenager who went missing and was presumed dead returns home after eight years to find a family deeply affected by his disappearance. Gradually, doubts arise about whether he really is the missing boy or an impostor."
Wreckers,A married couple move back to his childhood village to start a family but a surprise visit from the husband's brother ignites sibling rivalry and exposes the lies embedded in the couple's relationship.,Drama,Wreckers.Drama.A married couple move back to his childhood village to start a family but a surprise visit from the husband's brother ignites sibling rivalry and exposes the lies embedded in the couple's relationship.
Grandma's Wedding,A dysfunctional family travels to Cuernavaca to celebrate their grandmother’s wedding.,Comedy,Grandma's Wedding.Comedy.A dysfunctional family travels to Cuernavaca to celebrate their grandmother’s wedding.
The Conquest,A look at French president Nicolas Sarkozy's rise to power.,"Comedy, Drama","The Conquest.Comedy, Drama.A look at French president Nicolas Sarkozy's rise to power."
"Basic Sanitation, the Movie","Within a quaint village, inhabited by descendants of Italian settlers in the Serra Gaúcha region, an ongoing issue looms large—the dire need for a sewage treatment cesspool. This longstanding emergency has perennially been overlooked by the authorities. In a bid to address this pressing concern, a dedicated commission resolves to seek assistance from the sub-prefecture. Much to their dismay, they receive the disheartening news that no funds are allocated for essential sanitation purposes. Paradoxically, there exists a surplus designated for video production. Seizing this unforeseen opportunity, the group embarks on the creation of a video centered around the theme of basic sanitation. Little did they anticipate that their amateur production would captivate their collective dedication, ultimately leading to an unexpected recognition—a coveted award within their city.",Comedy,"Basic Sanitation, the Movie.Comedy.Within a quaint village, inhabited by descendants of Italian settlers in the Serra Gaúcha region, an ongoing issue looms large—the dire need for a sewage treatment cesspool. This longstanding emergency has perennially been overlooked by the authorities. In a bid to address this pressing concern, a dedicated commission resolves to seek assistance from the sub-prefecture. Much to their dismay, they receive the disheartening news that no funds are allocated for essential sanitation purposes. Paradoxically, there exists a surplus designated for video production. Seizing this unforeseen opportunity, the group embarks on the creation of a video centered around the theme of basic sanitation. Little did they anticipate that their amateur production would captivate their collective dedication, ultimately leading to an unexpected recognition—a coveted award within their city."
Salesman,"This documentary from Albert and David Maysles follows the bitter rivalry of four door-to-door salesmen working for the Mid-American Bible Company: Paul ""The Badger"" Brennan, Charles ""The Gipper"" McDevitt, James ""The Rabbit"" Baker and Raymond ""The Bull"" Martos. Times are tough for this hard-living quartet, who spend their days traveling through small-town America, trying their best to peddle gold-leaf Bibles to an apathetic crowd of lower-middle-class housewives and elderly couples.",Documentary,"Salesman.Documentary.This documentary from Albert and David Maysles follows the bitter rivalry of four door-to-door salesmen working for the Mid-American Bible Company: Paul ""The Badger"" Brennan, Charles ""The Gipper"" McDevitt, James ""The Rabbit"" Baker and Raymond ""The Bull"" Martos. Times are tough for this hard-living quartet, who spend their days traveling through small-town America, trying their best to peddle gold-leaf Bibles to an apathetic crowd of lower-middle-class housewives and elderly couples."
The Other Side of the Bed,"When Paula leaves her mate Pedro, he misses her and looks for comfort with his best friends, Javier and Sonia. Paula is having an affair with Javier. Pedro tries to find who is the secret lover of Paula, and hires a private eye. Meanwhile, while comforting Pedro, Sonia has a one night stand with him and Javier thinks she is cheating on him with her lesbian friend Luzia.","Drama, Romance","The Other Side of the Bed.Drama, Romance.When Paula leaves her mate Pedro, he misses her and looks for comfort with his best friends, Javier and Sonia. Paula is having an affair with Javier. Pedro tries to find who is the secret lover of Paula, and hires a private eye. Meanwhile, while comforting Pedro, Sonia has a one night stand with him and Javier thinks she is cheating on him with her lesbian friend Luzia."
The Watermelon Woman,"A young black lesbian filmmaker probes into the life of The Watermelon Woman, a 1930s black actress who played 'mammy' archetypes.","Drama, Comedy, Romance","The Watermelon Woman.Drama, Comedy, Romance.A young black lesbian filmmaker probes into the life of The Watermelon Woman, a 1930s black actress who played 'mammy' archetypes."
Keeper of Darkness,"Street-smart exorcist Fatt has an unique method of dealing with vengeful spirits: He negotiates with them and persuades them to let go of their grudges. After recordings of his exorcisms go viral, Fatt attracts the attentions of a murderous spirit who’s targeting mediums, as well as a troublesome reporter who takes great interest in Fatt and his close relationship with a female spirit.",Horror,"Keeper of Darkness.Horror.Street-smart exorcist Fatt has an unique method of dealing with vengeful spirits: He negotiates with them and persuades them to let go of their grudges. After recordings of his exorcisms go viral, Fatt attracts the attentions of a murderous spirit who’s targeting mediums, as well as a troublesome reporter who takes great interest in Fatt and his close relationship with a female spirit."
Leading Lady Parts,"The best women of British acting go to an audition for a dream role, primed to take on the role of a lifetime: that complex woman, the strong woman, a woman for today.",Comedy,"Leading Lady Parts.Comedy.The best women of British acting go to an audition for a dream role, primed to take on the role of a lifetime: that complex woman, the strong woman, a woman for today."
Massacre in Dinosaur Valley,"A plane crashes in the Amazon jungle, and its passengers must battle their way through cannibals, slave traders, wild animals and murderous piranha fish to safety.","Adventure, Action, Horror","Massacre in Dinosaur Valley.Adventure, Action, Horror.A plane crashes in the Amazon jungle, and its passengers must battle their way through cannibals, slave traders, wild animals and murderous piranha fish to safety."
Electric Dragon 80.000 V,"A violent, guitar-playing, electrically charged boxer faces off against an electronic wizard half-merged with a metallic Buddha.","Science Fiction, Action, Fantasy, Music","Electric Dragon 80.000 V.Science Fiction, Action, Fantasy, Music.A violent, guitar-playing, electrically charged boxer faces off against an electronic wizard half-merged with a metallic Buddha."
White Man's Burden,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice.",Drama,"White Man's Burden.Drama.The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate factory, loving husband and father of two children. While delivering a package for black CEO Thaddeus Thomas, he is mistaken for a voyeur and, as a result, loses his job, gets beaten by black cops and his family gets evicted from their home. Desperate Pinnock takes a gun and kidnaps Thomas, demanding justice."
"The Execution of Mary, Queen of Scots","A short film depicting the execution of Mary, Queen of the Scots. Mary is brought to the execution block and made to kneel down with her neck over it. The executioner lifts his axe ready to bring it down. After that frame Mary has been replaced by a dummy. The axe comes down and severs the head of the dummy from the body. The executioner picks up the head and shows it around for everyone else to see. One of the first camera tricks to be used in a movie.","History, Horror","The Execution of Mary, Queen of Scots.History, Horror.A short film depicting the execution of Mary, Queen of the Scots. Mary is brought to the execution block and made to kneel down with her neck over it. The executioner lifts his axe ready to bring it down. After that frame Mary has been replaced by a dummy. The axe comes down and severs the head of the dummy from the body. The executioner picks up the head and shows it around for everyone else to see. One of the first camera tricks to be used in a movie."
None Like Us,"The imperfections of love and its bitter consequences in Turin, Italy, during the ‘80s, before the social networks and smartphones. What happens to your heart when you discover that you're madly in love with your best friend? What happens to your soul when you find out that your teacher and life coach has been hiding a clandestine love with your best friend's father? What is the true meaning of friendship when you discover that it is the only antidote to heartbreak?",Romance,"None Like Us.Romance.The imperfections of love and its bitter consequences in Turin, Italy, during the ‘80s, before the social networks and smartphones. What happens to your heart when you discover that you're madly in love with your best friend? What happens to your soul when you find out that your teacher and life coach has been hiding a clandestine love with your best friend's father? What is the true meaning of friendship when you discover that it is the only antidote to heartbreak?"
Tugboat Mickey,"Mickey is performing routine maintenance on his tugboat (with interference from a pelican) when a call comes on the radio that there's a sinking ship needing assistance. Sadly, Mickey's crew consists of Donald and Goofy, so getting underway to help is not easy. Goofy has to fight a boiler's door to get it stoked with coal (and when he succeeds, he overfills it) and Donald gets tangled up in the machinery. Not to mention that nobody casts off, so they drag half the dock along with them. The overworked boiler soon explodes.","Animation, Family, Comedy","Tugboat Mickey.Animation, Family, Comedy.Mickey is performing routine maintenance on his tugboat (with interference from a pelican) when a call comes on the radio that there's a sinking ship needing assistance. Sadly, Mickey's crew consists of Donald and Goofy, so getting underway to help is not easy. Goofy has to fight a boiler's door to get it stoked with coal (and when he succeeds, he overfills it) and Donald gets tangled up in the machinery. Not to mention that nobody casts off, so they drag half the dock along with them. The overworked boiler soon explodes."
Good Gals,"The story of a gang of French female robbers disguised as men, who operated in the Avignon area in the mid-1980s.",Comedy,"Good Gals.Comedy.The story of a gang of French female robbers disguised as men, who operated in the Avignon area in the mid-1980s."
Death of a President,"A fictional investigative documentary looks back on the ""assassination"" of George W. Bush and attempts to answer the question of who committed the murder. Perhaps less morbid and disturbing to watch now than during Bush's presidency, the film doesn't address Bush's policies at all, instead focusing on the way a nation assigns blame in a time of crisis.","Drama, Crime, Thriller, Mystery","Death of a President.Drama, Crime, Thriller, Mystery.A fictional investigative documentary looks back on the ""assassination"" of George W. Bush and attempts to answer the question of who committed the murder. Perhaps less morbid and disturbing to watch now than during Bush's presidency, the film doesn't address Bush's policies at all, instead focusing on the way a nation assigns blame in a time of crisis."
The Letter Room,"Richard, a lonely and well-meaning prison officer, is put in charge of reading and censoring the letters received by inmates.",Comedy,"The Letter Room.Comedy.Richard, a lonely and well-meaning prison officer, is put in charge of reading and censoring the letters received by inmates."
La Cage aux Folles 3: The Wedding,Third and final version of the La Cage aux Folles series has Renato's drag queen lover Albin learning that he can inherit a vast fortune from a distant relative. But the catch is that Albin must marry (a woman) and produce a heir within a year or the whole inheritance will be forfeited.,Comedy,La Cage aux Folles 3: The Wedding.Comedy.Third and final version of the La Cage aux Folles series has Renato's drag queen lover Albin learning that he can inherit a vast fortune from a distant relative. But the catch is that Albin must marry (a woman) and produce a heir within a year or the whole inheritance will be forfeited.
Devil in the Dark,"When estranged brothers Adam and Clint attempt to reconnect over a week-long hunting trip in remote British Columbia, they find the tables turned by a mysterious presence lurking in the forest.  Convinced that they are now besieged by a supernatural presence, the siblings begrudgingly agree on only one thing: they will have to put aside their differences and work together if they plan on making it out these dark woods alive.","Horror, Thriller","Devil in the Dark.Horror, Thriller.When estranged brothers Adam and Clint attempt to reconnect over a week-long hunting trip in remote British Columbia, they find the tables turned by a mysterious presence lurking in the forest.  Convinced that they are now besieged by a supernatural presence, the siblings begrudgingly agree on only one thing: they will have to put aside their differences and work together if they plan on making it out these dark woods alive."
Francofonia,"Master filmmaker Alexander Sokurov (Russian Ark) transforms a portrait of the world-renowned museum into a magisterial, centuries-spanning reflection on the relation between art, culture and power.","Drama, History","Francofonia.Drama, History.Master filmmaker Alexander Sokurov (Russian Ark) transforms a portrait of the world-renowned museum into a magisterial, centuries-spanning reflection on the relation between art, culture and power."
The Keys to the House,"Meeting his handicapped son for the first time, a young father attempts to forge a relationship with the teenager.",Drama,"The Keys to the House.Drama.Meeting his handicapped son for the first time, a young father attempts to forge a relationship with the teenager."
Jimmy Carr: His Dark Material,"Jimmy Carr finds humor in the darkest of places in this stand-up special that features his dry, sardonic wit — and some jokes he calls ""career enders.""",Comedy,"Jimmy Carr: His Dark Material.Comedy.Jimmy Carr finds humor in the darkest of places in this stand-up special that features his dry, sardonic wit — and some jokes he calls ""career enders."""
Animals Are Beautiful People,"Animals Are Beautiful People (aka Beautiful People) is a 1974 nature documentary about the wildlife in Southern Africa. It was filmed in the Namib Desert, the Kalahari Desert and the Okavango River and Okavango Delta. It was produced for cinema and has a length of slightly more than 90 minutes.","Comedy, Documentary, Family","Animals Are Beautiful People.Comedy, Documentary, Family.Animals Are Beautiful People (aka Beautiful People) is a 1974 nature documentary about the wildlife in Southern Africa. It was filmed in the Namib Desert, the Kalahari Desert and the Okavango River and Okavango Delta. It was produced for cinema and has a length of slightly more than 90 minutes."
Star,"When Crystal Wyatt was 16 her father passed away. From that time her life would never be the same. Crystal is banished from the family ranch, and starts a new life as a singer in a San Francisco nightclub.","Romance, Drama","Star.Romance, Drama.When Crystal Wyatt was 16 her father passed away. From that time her life would never be the same. Crystal is banished from the family ranch, and starts a new life as a singer in a San Francisco nightclub."
Wasp,"Zoë is a single mother who lives with her four children in Dartford. She is poor and can't afford to buy food. One day her old flame drives by and asks her to go on a date with him. Scared that he doesn't want to go out with her, she lies and tells him that she is just babysitting the kids. This will be her first date in years.",Drama,"Wasp.Drama.Zoë is a single mother who lives with her four children in Dartford. She is poor and can't afford to buy food. One day her old flame drives by and asks her to go on a date with him. Scared that he doesn't want to go out with her, she lies and tells him that she is just babysitting the kids. This will be her first date in years."
César,"Honoré Panisse is dying, cheerfully, with friends, wife, and son at his side. He confesses to the priest in front of his friends; he insists that the doctor be truthful. But, he cannot bring himself to tell his son Césariot that his real father is Marius, the absent son of César, Césariot's godfather. Panisse leaves that to Fanny, the lad's mother. Dissembling that he's off to see a friend, Césariot then seeks Marius, now a mechanic in Toulon. Posing as a journalist, Césariot spends time with Marius and leaves believing tales he is a petty thief. Only after the truth comes out can Marius, Fanny, César, and Césariot step beyond the falsehoods, benign though they may be.","Comedy, Drama","César.Comedy, Drama.Honoré Panisse is dying, cheerfully, with friends, wife, and son at his side. He confesses to the priest in front of his friends; he insists that the doctor be truthful. But, he cannot bring himself to tell his son Césariot that his real father is Marius, the absent son of César, Césariot's godfather. Panisse leaves that to Fanny, the lad's mother. Dissembling that he's off to see a friend, Césariot then seeks Marius, now a mechanic in Toulon. Posing as a journalist, Césariot spends time with Marius and leaves believing tales he is a petty thief. Only after the truth comes out can Marius, Fanny, César, and Césariot step beyond the falsehoods, benign though they may be."
Killer Movie,A reality TV director copes with a spoiled celebutante and a show gone haywire when a masked killer starts bumping off the crew in this slasher-movie satire.,"Horror, Mystery, Thriller","Killer Movie.Horror, Mystery, Thriller.A reality TV director copes with a spoiled celebutante and a show gone haywire when a masked killer starts bumping off the crew in this slasher-movie satire."
3 Faces,"Filmmaker Jafar Panahi and actor Behnaz Jafari travel to a tiny village after receiving a plea for help from a girl whose family has forbidden her from studying acting. Amusing encounters abound, but they soon discover that the local hospitality is rivaled by the desire to protect old traditions.",Drama,"3 Faces.Drama.Filmmaker Jafar Panahi and actor Behnaz Jafari travel to a tiny village after receiving a plea for help from a girl whose family has forbidden her from studying acting. Amusing encounters abound, but they soon discover that the local hospitality is rivaled by the desire to protect old traditions."
Where Is Fred?,"In order to catch a basketball from the favorite team of his girlfriend's spoiled son, Fred poses as a numb, wheelchair-bound fan. But when he catches the ball, he also catches the attention of young, attractive filmmaker Denise, who wants to feature an invalid fan in an image film for the team. Fred has to keep playing his role, while real invalid and really furious fan Ronny might call his bluff at any moment. Worse, still, love sets in...","Comedy, Romance","Where Is Fred?.Comedy, Romance.In order to catch a basketball from the favorite team of his girlfriend's spoiled son, Fred poses as a numb, wheelchair-bound fan. But when he catches the ball, he also catches the attention of young, attractive filmmaker Denise, who wants to feature an invalid fan in an image film for the team. Fred has to keep playing his role, while real invalid and really furious fan Ronny might call his bluff at any moment. Worse, still, love sets in..."
Amici come prima,"Cesare Proietti is the esteemed manager of the Relais Colombo, a luxury hotel in Milan. When a group of new Chinese business partners want to revolutionize everything, the hotel owner's daughter, Luciana, decides to fire Cesare. When Cesare discovers Luciana is looking for a caregiver who can look after her father, he decides to dress up as a charming woman to apply for the role.",Comedy,"Amici come prima.Comedy.Cesare Proietti is the esteemed manager of the Relais Colombo, a luxury hotel in Milan. When a group of new Chinese business partners want to revolutionize everything, the hotel owner's daughter, Luciana, decides to fire Cesare. When Cesare discovers Luciana is looking for a caregiver who can look after her father, he decides to dress up as a charming woman to apply for the role."
Si yo fuera diputado,"Cantinflas is a unique barber, who trades with an elderly neighbor, a lawyer by profession, laws lessons in exchange for haircuts and shaved. It proposes advice to defend in court the disadvantaged neighborhood. His success deputy seeks the votes as the other candidate, Don Próculo, it is not accepted by anyone but his own bodyguards. Don Próculo will use know how much ruse to win the election by the Council, and also for the love of 'Sarita'",Comedy,"Si yo fuera diputado.Comedy.Cantinflas is a unique barber, who trades with an elderly neighbor, a lawyer by profession, laws lessons in exchange for haircuts and shaved. It proposes advice to defend in court the disadvantaged neighborhood. His success deputy seeks the votes as the other candidate, Don Próculo, it is not accepted by anyone but his own bodyguards. Don Próculo will use know how much ruse to win the election by the Council, and also for the love of 'Sarita'"
El test,"What would you choose: be a little rich now, or wait ten years and be filthy rich? Could you wait this long? Why? And most importantly, could you come to terms with your life partner? The protagonists will have to choose between the possibility of opting for 100,000 euros at the present time or obtaining a million euros after ten years... Adaptation of the work by Jordi Vallejo.",Comedy,"El test.Comedy.What would you choose: be a little rich now, or wait ten years and be filthy rich? Could you wait this long? Why? And most importantly, could you come to terms with your life partner? The protagonists will have to choose between the possibility of opting for 100,000 euros at the present time or obtaining a million euros after ten years... Adaptation of the work by Jordi Vallejo."
Melvin and Howard,"The story of hard-luck Melvin Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.","Comedy, Drama","Melvin and Howard.Comedy, Drama.The story of hard-luck Melvin Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes."
Limite,"Adrift in the vast expanse of the ocean, a solitary boat carries three castaways—a man and two women. Stranded and devoid of any glimmer of rescue, they find solace in recounting the tales of their lives to one another. As they delve into their personal narratives, reminiscing about the circumstances that led them to this desolate predicament, they navigate through the depths of three distinct destinies. Bound by the confines of their shared space, every aspect of their existence becomes a boundary, underscoring their plight.","Drama, Adventure","Limite.Drama, Adventure.Adrift in the vast expanse of the ocean, a solitary boat carries three castaways—a man and two women. Stranded and devoid of any glimmer of rescue, they find solace in recounting the tales of their lives to one another. As they delve into their personal narratives, reminiscing about the circumstances that led them to this desolate predicament, they navigate through the depths of three distinct destinies. Bound by the confines of their shared space, every aspect of their existence becomes a boundary, underscoring their plight."
Una festa esagerata,"Mirea is about to be 18 years old, and her family is prepearing a big party for her. Teresa, Mirea's mother, wants to gain notoriety, so begins to spend recklessy for the celebration. When the day finally comes, an unexpected death puts it at risk.",Comedy,"Una festa esagerata.Comedy.Mirea is about to be 18 years old, and her family is prepearing a big party for her. Teresa, Mirea's mother, wants to gain notoriety, so begins to spend recklessy for the celebration. When the day finally comes, an unexpected death puts it at risk."
Adrenalin: Fear the Rush,"In a not-too-distant future, a lethal virus sweeps across Europe, prompting the creation of quarantine refugee camps in the United States. Police officers Delon (Natasha Henstridge) and Lemieux (Christopher Lambert) learn of a grisly murder in the Boston camp and team up to investigate. Suspecting the ruthless killer is infected with the virus, the pair have just hours to stop him before he becomes contagious and infects the entire population.","Action, Science Fiction, Thriller, Horror","Adrenalin: Fear the Rush.Action, Science Fiction, Thriller, Horror.In a not-too-distant future, a lethal virus sweeps across Europe, prompting the creation of quarantine refugee camps in the United States. Police officers Delon (Natasha Henstridge) and Lemieux (Christopher Lambert) learn of a grisly murder in the Boston camp and team up to investigate. Suspecting the ruthless killer is infected with the virus, the pair have just hours to stop him before he becomes contagious and infects the entire population."
The High Sign,"Buster is thrown off a train near an amusement park. There he gets a job in a shooting gallery run by the Blinking Buzzards mob. Ordered to kill a businessman, he winds up protecting the man and his daughter by outfitting their home with trick devices.","Crime, Comedy","The High Sign.Crime, Comedy.Buster is thrown off a train near an amusement park. There he gets a job in a shooting gallery run by the Blinking Buzzards mob. Ordered to kill a businessman, he winds up protecting the man and his daughter by outfitting their home with trick devices."
Speedy Gonzales,Speedy comes to the aid of a group of mice trying to get the cheese from a factory guarded by Sylvester.,"Animation, Family, Comedy","Speedy Gonzales.Animation, Family, Comedy.Speedy comes to the aid of a group of mice trying to get the cheese from a factory guarded by Sylvester."
Tom Thumb,"A boy, no bigger than a thumb, manages to outwit two thieves determined to make a fortune from him.","Music, Family, Fantasy, Adventure","Tom Thumb.Music, Family, Fantasy, Adventure.A boy, no bigger than a thumb, manages to outwit two thieves determined to make a fortune from him."
Orange: Future,"Twenty-six-year-old Hiroto Suwa; his wife, Naho; and their old high school classmates—Takako Chino, Azusa Murasaka, and Saku Hagita—visit Mt. Koubou to view the cherry blossoms together. While watching the setting sun, they reminisce about Kakeru Naruse, their friend who died 10 years ago. Mourning for him, they decide to visit Kakeru's old home, where they learn the secret of his death from his grandmother.","Drama, Animation, Romance, Science Fiction","Orange: Future.Drama, Animation, Romance, Science Fiction.Twenty-six-year-old Hiroto Suwa; his wife, Naho; and their old high school classmates—Takako Chino, Azusa Murasaka, and Saku Hagita—visit Mt. Koubou to view the cherry blossoms together. While watching the setting sun, they reminisce about Kakeru Naruse, their friend who died 10 years ago. Mourning for him, they decide to visit Kakeru's old home, where they learn the secret of his death from his grandmother."
"Rita, Sue and Bob Too","Rita and Sue are two teenagers living on a run-down council estate in Bradford, who both share a job babysitting for Bob and Michelle's children.  Whilst giving them a lift home one night, Bob decides to take Rita and Sue up to a deserted, country-side landscape.  Clearly knowing what he has in mind, Rita and Sue are only too happy to oblige and both have a sexual encounter with him that becomes a regular occurrence.","Comedy, Drama","Rita, Sue and Bob Too.Comedy, Drama.Rita and Sue are two teenagers living on a run-down council estate in Bradford, who both share a job babysitting for Bob and Michelle's children.  Whilst giving them a lift home one night, Bob decides to take Rita and Sue up to a deserted, country-side landscape.  Clearly knowing what he has in mind, Rita and Sue are only too happy to oblige and both have a sexual encounter with him that becomes a regular occurrence."
For Love and Honour,"Ali Osman is a former bully of city of Istanbul. But lately he gives up bully and starts to operate a synthetic pitch. He often meets his old friends, former bullies, too. One day Ali Osman receives a news which is related with his previous passionate life. Then the whole action stats as a chain of events.","Action, Crime, Drama","For Love and Honour.Action, Crime, Drama.Ali Osman is a former bully of city of Istanbul. But lately he gives up bully and starts to operate a synthetic pitch. He often meets his old friends, former bullies, too. One day Ali Osman receives a news which is related with his previous passionate life. Then the whole action stats as a chain of events."
Sophie's Misfortunes,"Sophie is far from being the model little girl one would like her to be, unlike her friends Camille and Madeleine. She always insists on having her own way, often getting into trouble, to the despair of one and all. But her mother is unbending and otherwise inclined. She will not let her get away with anything, and poor Sophie will often have to live with the consequences of her bad behaviour and learn her lesson.","Family, Comedy","Sophie's Misfortunes.Family, Comedy.Sophie is far from being the model little girl one would like her to be, unlike her friends Camille and Madeleine. She always insists on having her own way, often getting into trouble, to the despair of one and all. But her mother is unbending and otherwise inclined. She will not let her get away with anything, and poor Sophie will often have to live with the consequences of her bad behaviour and learn her lesson."
Crazy Alien,"A monkey trainer whose act goes wrong after an alien crash lands on Earth and injures his monkey. Desperate to perform the act, he attempts to train the alien instead, though is punished after the alien regains his powers.","Comedy, Science Fiction","Crazy Alien.Comedy, Science Fiction.A monkey trainer whose act goes wrong after an alien crash lands on Earth and injures his monkey. Desperate to perform the act, he attempts to train the alien instead, though is punished after the alien regains his powers."
Geetha Govindam,"Vijay Govind, a young college lecturer who dreams of marriage falls for Geetha, a level-headed woman who's wary of strangers and isn't easy to convince. While things seem to go smoothly, Vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family.",Romance,"Geetha Govindam.Romance.Vijay Govind, a young college lecturer who dreams of marriage falls for Geetha, a level-headed woman who's wary of strangers and isn't easy to convince. While things seem to go smoothly, Vijay makes a terrible mistake which not only derails any hope for his love story, but also potential repercussions with his family."
